run_id,config_id,fit_seconds,selected_threshold,vector_size,window,pooling,normalize_embeddings,C,class_weight,threshold,support,positive_support,negative_support,positive_rate,accuracy,balanced_accuracy,positive_precision,positive_recall,positive_f1,macro_f1,weighted_f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,false_positive_rate,false_negative_rate
FASTTEXT-EMB_LOG-REG_20260708_174434,18,0.10864877700805664,0.59,100,3,mean,False,3.0,balanced,0.59,450,169,281,0.37555555555555553,0.8,0.7750005264377013,0.7651006711409396,0.6745562130177515,0.7169811320754716,0.7811709784088698,0.7971471179407378,0.847838446798206,0.7926422318865757,0.15693066346034082,246,35,55,114,0.12455516014234876,0.3254437869822485
FASTTEXT-EMB_LOG-REG_20260708_174434,14,0.05263090133666992,0.44,100,3,mean,False,0.3,balanced,0.44,450,169,281,0.37555555555555553,0.7644444444444445,0.7701151845690581,0.6536585365853659,0.7928994082840237,0.7165775401069518,0.7575283137797117,0.7677205063382653,0.845290488323612,0.7971401794956211,0.15725250532926763,210,71,35,134,0.2526690391459075,0.20710059171597633
FASTTEXT-EMB_LOG-REG_20260708_174434,84,0.23929524421691895,0.48000000000000004,200,5,idf_weighted_mean,True,3.0,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.7711111111111111,0.7707363810566658,0.6701030927835051,0.7692307692307693,0.7162534435261708,0.7622235560275175,0.7736650062500748,0.8532923413843205,0.7879334664113726,0.15878222037306808,217,64,39,130,0.2277580071174377,0.23076923076923078
FASTTEXT-EMB_LOG-REG_20260708_174434,35,0.10617518424987793,0.33,100,5,idf_weighted_mean,True,3.0,,0.33,450,169,281,0.37555555555555553,0.7622222222222222,0.7695150455895049,0.6490384615384616,0.7988165680473372,0.7161803713527851,0.7557957306094709,0.7656555533578017,0.8358356672071426,0.7694924163629023,0.15600873831964815,208,73,34,135,0.2597864768683274,0.20118343195266272
FASTTEXT-EMB_LOG-REG_20260708_174434,44,0.0513765811920166,0.5,100,5,mean,True,0.3,balanced,0.5,450,169,281,0.37555555555555553,0.7777777777777778,0.7713575775442734,0.6885245901639344,0.7455621301775148,0.7159090909090909,0.7667136695421367,0.7793583646685837,0.8414369643496389,0.7916146154400406,0.1608518970190874,224,57,43,126,0.20284697508896798,0.25443786982248523
FASTTEXT-EMB_LOG-REG_20260708_174434,57,0.14646124839782715,0.37,200,3,idf_weighted_mean,True,1.0,,0.37,450,169,281,0.37555555555555553,0.7755555555555556,0.7707574385647202,0.6827956989247311,0.7514792899408284,0.7154929577464789,0.7650859284145239,0.7774290677807928,0.8401524563583146,0.7712606047929862,0.15270016782984158,222,59,42,127,0.2099644128113879,0.2485207100591716
FASTTEXT-EMB_LOG-REG_20260708_174434,28,0.08340287208557129,0.51,100,5,idf_weighted_mean,False,1.0,balanced,0.51,450,169,281,0.37555555555555553,0.7733333333333333,0.7701572995851671,0.6772486772486772,0.757396449704142,0.7150837988826816,0.7634459584819312,0.7754827626488555,0.8388047758428268,0.7712570701249151,0.16510402768691482,220,61,41,128,0.21708185053380782,0.24260355029585798
FASTTEXT-EMB_LOG-REG_20260708_174434,54,0.21410799026489258,0.51,200,3,idf_weighted_mean,False,3.0,balanced,0.51,450,169,281,0.37555555555555553,0.7711111111111111,0.769557160605614,0.671875,0.7633136094674556,0.7146814404432132,0.7617934103885825,0.7735190562416522,0.8448272231464129,0.7753668518108612,0.16356403396030728,218,63,40,129,0.22419928825622776,0.23668639053254437
FASTTEXT-EMB_LOG-REG_20260708_174434,61,0.08821868896484375,0.33,200,3,mean,False,0.3,,0.33,450,169,281,0.37555555555555553,0.7644444444444445,0.7677567436669545,0.6567164179104478,0.7810650887573964,0.7135135135135136,0.7567567567567568,0.7675195195195195,0.8462170186780096,0.7984152568210837,0.1474404271159779,212,69,37,132,0.24555160142348753,0.21893491124260356
FASTTEXT-EMB_LOG-REG_20260708_174434,2,0.04868578910827637,0.5,100,3,idf_weighted_mean,False,0.3,balanced,0.5,450,169,281,0.37555555555555553,0.7733333333333333,0.7689780791341152,0.679144385026738,0.7514792899408284,0.7134831460674157,0.7629915730337078,0.775313670411985,0.8359409547474153,0.7736160471457278,0.16453958011552175,221,60,42,127,0.21352313167259787,0.2485207100591716
FASTTEXT-EMB_LOG-REG_20260708_174434,13,0.04909539222717285,0.32,100,3,mean,False,0.3,,0.32,450,169,281,0.37555555555555553,0.7622222222222222,0.7671566046874013,0.6519607843137255,0.7869822485207101,0.7131367292225201,0.7550503380457951,0.7654821695751437,0.8449535681947398,0.8000034872737788,0.14879113273338723,210,71,36,133,0.2526690391459075,0.21301775147928995
FASTTEXT-EMB_LOG-REG_20260708_174434,36,0.11216878890991211,0.46,100,5,idf_weighted_mean,True,3.0,balanced,0.46,450,169,281,0.37555555555555553,0.7622222222222222,0.7671566046874013,0.6519607843137255,0.7869822485207101,0.7131367292225201,0.7550503380457951,0.7654821695751437,0.8368043125776495,0.7681611126789238,0.16646100013721865,210,71,36,133,0.2526690391459075,0.21301775147928995
FASTTEXT-EMB_LOG-REG_20260708_174434,19,0.056915998458862305,0.4,100,3,mean,True,0.3,,0.4,450,169,281,0.37555555555555553,0.7866666666666666,0.7702204721093306,0.7212121212121212,0.7041420118343196,0.7125748502994012,0.7714817714394533,0.7861430495898662,0.8430373349617807,0.7944502957430508,0.1511945902421575,235,46,50,119,0.16370106761565836,0.2958579881656805
