run_id,technique,config_index,selection_metric,fit_seconds,num_features_fit,calibration_method,calibration_cv,word_max_features,word_ngram_range,char_max_features,char_ngram_range,min_df,max_df,sublinear_tf,C,class_weight,validation_threshold,validation_support,validation_positive_support,validation_negative_support,validation_positive_rate,validation_accuracy,validation_balanced_accuracy,validation_positive_precision,validation_positive_recall,validation_positive_f1,validation_macro_f1,validation_weighted_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_positive_rate,validation_false_negative_rate
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,26,validation_positive_f1,1.8379299640655518,55743,sigmoid,3,20000,"[1, 2]",50000,"[3, 5]",1,0.95,True,0.1,balanced,0.4,450,169,281,0.37555555555555553,0.7866666666666666,0.7926256606793152,0.6798029556650246,0.8165680473372781,0.7419354838709677,0.7800586510263929,0.7895470837406322,0.8848154309419023,0.8503246578129383,0.13901541018245386,216,65,31,138,0.2313167259786477,0.1834319526627219
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,38,validation_positive_f1,1.7996017932891846,55743,sigmoid,3,20000,"[1, 2]",100000,"[3, 5]",1,0.95,True,0.1,balanced,0.4,450,169,281,0.37555555555555553,0.7866666666666666,0.7926256606793152,0.6798029556650246,0.8165680473372781,0.7419354838709677,0.7800586510263929,0.7895470837406322,0.8848154309419023,0.8503246578129383,0.13901541018245386,216,65,31,138,0.2313167259786477,0.1834319526627219
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,92,validation_positive_f1,1.8845164775848389,86464,sigmoid,3,50000,"[1, 2]",100000,"[3, 6]",1,0.95,True,0.1,balanced,0.4,450,169,281,0.37555555555555553,0.7844444444444445,0.792025521699762,0.6747572815533981,0.8224852071005917,0.7413333333333333,0.7782857142857142,0.7874827513227513,0.8845837983533029,0.850950579868204,0.13838286258223667,214,67,30,139,0.23843416370106763,0.17751479289940827
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,80,validation_positive_f1,1.8713982105255127,82281,sigmoid,3,50000,"[1, 2]",50000,"[3, 6]",1,0.95,True,0.1,balanced,0.52,450,169,281,0.37555555555555553,0.8177777777777778,0.7927730632356966,0.7959183673469388,0.6923076923076923,0.740506329113924,0.8000476851049072,0.8148668670404409,0.8839520731116679,0.8499390131270466,0.13859096584232297,251,30,52,117,0.10676156583629894,0.3076923076923077
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,44,validation_positive_f1,1.9120113849639893,74183,sigmoid,3,20000,"[1, 2]",100000,"[3, 6]",1,0.95,True,0.1,balanced,0.4,450,169,281,0.37555555555555553,0.7844444444444445,0.7908463012487101,0.6764705882352942,0.8165680473372781,0.739946380697051,0.7779428298172162,0.7873997238204573,0.8859525363768451,0.8513501618383725,0.13872021231875103,215,66,31,138,0.23487544483985764,0.1834319526627219
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,43,validation_positive_f1,1.8739230632781982,74183,sigmoid,3,20000,"[1, 2]",100000,"[3, 6]",1,0.95,True,0.1,,0.52,450,169,281,0.37555555555555553,0.82,0.7921939817641981,0.8098591549295775,0.6804733727810651,0.7395498392282959,0.801014308408715,0.816312131849175,0.8847943734338478,0.8515976365481651,0.1382413300121754,254,27,54,115,0.09608540925266904,0.31952662721893493
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,25,validation_positive_f1,1.7962207794189453,55743,sigmoid,3,20000,"[1, 2]",50000,"[3, 5]",1,0.95,True,0.1,,0.52,450,169,281,0.37555555555555553,0.82,0.7921939817641981,0.8098591549295775,0.6804733727810651,0.7395498392282959,0.801014308408715,0.816312131849175,0.8841837057002675,0.850868577009026,0.13857164212557035,254,27,54,115,0.09608540925266904,0.31952662721893493
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,37,validation_positive_f1,1.8335013389587402,55743,sigmoid,3,20000,"[1, 2]",100000,"[3, 5]",1,0.95,True,0.1,,0.52,450,169,281,0.37555555555555553,0.82,0.7921939817641981,0.8098591549295775,0.6804733727810651,0.7395498392282959,0.801014308408715,0.816312131849175,0.8841837057002675,0.850868577009026,0.13857164212557035,254,27,54,115,0.09608540925266904,0.31952662721893493
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,74,validation_positive_f1,1.7935752868652344,68024,sigmoid,3,50000,"[1, 2]",50000,"[3, 5]",1,0.95,True,0.1,balanced,0.4,450,169,281,0.37555555555555553,0.7822222222222223,0.790246162269157,0.6714975845410628,0.8224852071005917,0.7393617021276596,0.7761694006821505,0.7853304278779347,0.8835309229505781,0.8496819611104006,0.13871069002596123,213,68,30,139,0.24199288256227758,0.17751479289940827
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,86,validation_positive_f1,1.8418450355529785,68024,sigmoid,3,50000,"[1, 2]",100000,"[3, 5]",1,0.95,True,0.1,balanced,0.4,450,169,281,0.37555555555555553,0.7822222222222223,0.790246162269157,0.6714975845410628,0.8224852071005917,0.7393617021276596,0.7761694006821505,0.7853304278779347,0.8835309229505781,0.8496819611104006,0.13871069002596123,213,68,30,139,0.24199288256227758,0.17751479289940827
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,4,validation_positive_f1,1.8958110809326172,42056,sigmoid,3,20000,"[1, 1]",50000,"[3, 5]",1,0.95,True,1.0,balanced,0.39,450,169,281,0.37555555555555553,0.7822222222222223,0.790246162269157,0.6714975845410628,0.8224852071005917,0.7393617021276596,0.7761694006821505,0.7853304278779347,0.8688538398365937,0.8301113892316114,0.15097280694361795,213,68,30,139,0.24199288256227758,0.17751479289940827
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,16,validation_positive_f1,1.830038070678711,42056,sigmoid,3,20000,"[1, 1]",100000,"[3, 5]",1,0.95,True,1.0,balanced,0.39,450,169,281,0.37555555555555553,0.7822222222222223,0.790246162269157,0.6714975845410628,0.8224852071005917,0.7393617021276596,0.7761694006821505,0.7853304278779347,0.8688538398365937,0.8301113892316114,0.15097280694361795,213,68,30,139,0.24199288256227758,0.17751479289940827
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,52,validation_positive_f1,1.8452682495117188,42056,sigmoid,3,50000,"[1, 1]",50000,"[3, 5]",1,0.95,True,1.0,balanced,0.39,450,169,281,0.37555555555555553,0.7822222222222223,0.790246162269157,0.6714975845410628,0.8224852071005917,0.7393617021276596,0.7761694006821505,0.7853304278779347,0.8688538398365937,0.8301113892316114,0.15097280694361795,213,68,30,139,0.24199288256227758,0.17751479289940827
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,64,validation_positive_f1,1.8228800296783447,42056,sigmoid,3,50000,"[1, 1]",100000,"[3, 5]",1,0.95,True,1.0,balanced,0.39,450,169,281,0.37555555555555553,0.7822222222222223,0.790246162269157,0.6714975845410628,0.8224852071005917,0.7393617021276596,0.7761694006821505,0.7853304278779347,0.8688538398365937,0.8301113892316114,0.15097280694361795,213,68,30,139,0.24199288256227758,0.17751479289940827
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,73,validation_positive_f1,1.840740442276001,68024,sigmoid,3,50000,"[1, 2]",50000,"[3, 5]",1,0.95,True,0.1,,0.51,450,169,281,0.37555555555555553,0.8155555555555556,0.7909937038050917,0.7905405405405406,0.6923076923076923,0.7381703470031545,0.7979016400538929,0.8127680952131877,0.8823727600075807,0.8499629373987883,0.1383081794562018,250,31,52,117,0.1103202846975089,0.3076923076923077
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,85,validation_positive_f1,1.8148748874664307,68024,sigmoid,3,50000,"[1, 2]",100000,"[3, 5]",1,0.95,True,0.1,,0.51,450,169,281,0.37555555555555553,0.8155555555555556,0.7909937038050917,0.7905405405405406,0.6923076923076923,0.7381703470031545,0.7979016400538929,0.8127680952131877,0.8823727600075807,0.8499629373987883,0.1383081794562018,250,31,52,117,0.1103202846975089,0.3076923076923077
